转债代码,低点日期,反弹日期,时长,击穿次数,最大收益
110048.SH,2021-10-14 10:00:00,2021-10-19 14:45:00,5 days 04:45:00,6,14.965907104143605
110048.SH,2021-10-22 15:00:00,2021-10-25 09:45:00,2 days 18:45:00,2,2.9363870357724364
110048.SH,2021-10-29 10:00:00,2021-10-29 10:15:00,0 days 00:15:00,2,4.845565315953526
110048.SH,2021-11-03 09:45:00,2021-11-03 10:15:00,0 days 00:30:00,2,4.106031652702247
110048.SH,2021-11-08 14:45:00,2021-11-09 09:45:00,0 days 19:00:00,2,7.070119290078569
110048.SH,2021-11-10 13:45:00,2021-11-10 14:30:00,0 days 00:45:00,2,4.156133077156432
110051.SH,2021-11-24 09:45:00,2021-11-24 10:00:00,0 days 00:15:00,2,4.181044398435718
110051.SH,2021-11-26 10:00:00,2021-11-26 10:15:00,0 days 00:15:00,2,4.079087994299968
110051.SH,2021-11-29 10:45:00,2021-11-29 11:15:00,0 days 00:30:00,2,1.6819221967963482
110055.SH,2021-09-28 09:45:00,2021-09-28 10:15:00,0 days 00:30:00,3,7.504043126684623
110055.SH,2021-09-28 13:45:00,2021-09-28 15:00:00,0 days 01:15:00,2,1.9556025369978913
110055.SH,2021-09-29 10:30:00,2021-09-29 10:30:00,0 days 00:00:00,2,3.8293497815471644
110055.SH,2021-09-29 11:15:00,2021-09-29 11:30:00,0 days 00:15:00,2,1.6781836130306038
110055.SH,2021-10-11 10:15:00,2021-10-11 10:30:00,0 days 00:15:00,2,1.8728567660247775
110055.SH,2021-10-18 14:45:00,2021-10-22 13:15:00,3 days 22:30:00,3,4.166666666666652
110055.SH,2021-11-24 09:45:00,2021-11-24 09:45:00,0 days 00:00:00,2,5.095410005157297
110055.SH,2021-11-24 10:00:00,2021-11-24 10:00:00,0 days 00:00:00,2,1.9037465732561598
110055.SH,2021-11-26 13:30:00,2021-11-29 10:00:00,2 days 20:30:00,2,2.197511252316664
110066.SH,2021-09-22 09:45:00,2021-09-23 09:45:00,1 days 00:00:00,2,6.7714096038946625
110066.SH,2021-09-28 09:45:00,2021-09-29 10:00:00,1 days 00:15:00,3,12.292641429179074
110066.SH,2021-10-13 11:30:00,2021-10-14 10:15:00,0 days 22:45:00,2,7.1224942305081695
110066.SH,2021-10-25 10:15:00,2021-10-26 10:00:00,0 days 23:45:00,3,7.276315789473675
110066.SH,2021-11-02 14:15:00,2021-11-05 10:15:00,2 days 20:00:00,3,7.575757575757569
110074.SH,2021-11-26 13:45:00,2021-11-29 10:00:00,2 days 20:15:00,2,7.994497095689401
111000.SH,2021-11-19 13:30:00,2021-11-22 09:45:00,2 days 20:15:00,2,6.396517079705277
111000.SH,2021-11-29 09:45:00,2021-11-29 10:00:00,0 days 00:15:00,2,4.48074837310195
113009.SH,2021-09-14 10:00:00,2021-09-14 10:15:00,0 days 00:15:00,2,4.097369216812807
113009.SH,2021-09-15 10:15:00,2021-09-15 10:30:00,0 days 00:15:00,2,1.4285714285714235
113009.SH,2021-09-16 13:15:00,2021-09-16 13:45:00,0 days 00:30:00,3,1.9755633132338968
113009.SH,2021-09-17 13:30:00,2021-09-17 13:45:00,0 days 00:15:00,3,1.7384240454914712
113009.SH,2021-09-22 09:45:00,2021-09-22 10:00:00,0 days 00:15:00,2,1.3716314345651126
113009.SH,2021-09-27 10:30:00,2021-09-27 11:00:00,0 days 00:30:00,3,1.605136436597121
113009.SH,2021-09-27 13:15:00,2021-09-27 13:30:00,0 days 00:15:00,2,2.48015060980602
113009.SH,2021-09-29 11:15:00,2021-09-30 09:45:00,0 days 22:30:00,4,2.0333813437261705
113009.SH,2021-10-08 13:30:00,2021-10-08 14:00:00,0 days 00:30:00,3,2.508417508417504
113009.SH,2021-10-12 14:15:00,2021-10-12 14:45:00,0 days 00:30:00,2,1.0543657331136824
113009.SH,2021-10-13 10:15:00,2021-10-13 10:30:00,0 days 00:15:00,2,1.8413826522371224
113009.SH,2021-10-19 09:45:00,2021-10-19 10:00:00,0 days 00:15:00,2,1.6653449643140306
113009.SH,2021-10-21 14:00:00,2021-10-22 09:45:00,0 days 19:45:00,2,1.8794607454401202
113009.SH,2021-10-25 09:45:00,2021-10-25 10:00:00,0 days 00:15:00,2,1.618919133402108
113009.SH,2021-10-26 10:30:00,2021-10-26 11:00:00,0 days 00:30:00,2,1.2157107231920206
113009.SH,2021-10-28 09:45:00,2021-10-28 10:00:00,0 days 00:15:00,2,2.521208277174347
113009.SH,2021-10-28 10:45:00,2021-10-28 11:00:00,0 days 00:15:00,2,0.9956192751891635
113009.SH,2021-10-28 14:45:00,2021-10-28 15:00:00,0 days 00:15:00,2,1.1567194152140914
113009.SH,2021-10-29 10:15:00,2021-10-29 11:00:00,0 days 00:45:00,2,0.955465587044535
113009.SH,2021-11-02 10:00:00,2021-11-02 10:00:00,0 days 00:00:00,2,1.8631545133311889
113009.SH,2021-11-02 13:45:00,2021-11-02 14:45:00,0 days 01:00:00,2,0.9465253620257297
113009.SH,2021-11-04 09:45:00,2021-11-04 09:45:00,0 days 00:00:00,2,3.1939651713345674
113009.SH,2021-11-19 11:00:00,2021-11-19 13:15:00,0 days 02:15:00,4,4.039665122327896
113009.SH,2021-11-25 10:15:00,2021-11-25 13:15:00,0 days 03:00:00,2,1.5409054805401112
113009.SH,2021-11-29 09:45:00,2021-11-29 10:00:00,0 days 00:15:00,2,1.065547303842429
113016.SH,2021-07-06 09:45:00,2021-07-07 14:00:00,1 days 04:15:00,2,10.395124631599973
113016.SH,2021-07-19 14:00:00,2021-07-20 10:00:00,0 days 20:00:00,2,7.055624227441282
113016.SH,2021-07-26 13:30:00,2021-07-27 09:45:00,0 days 20:15:00,2,7.711111111111113
113016.SH,2021-08-18 10:00:00,2021-08-19 09:45:00,0 days 23:45:00,2,5.547518526172834
113016.SH,2021-08-25 14:00:00,2021-08-26 10:00:00,0 days 20:00:00,2,2.679770015957028
113016.SH,2021-09-29 11:00:00,2021-10-18 10:15:00,18 days 23:15:00,3,15.936921857105112
113016.SH,2021-10-19 14:00:00,2021-10-20 10:00:00,0 days 20:00:00,2,5.814321540746503
113016.SH,2021-10-28 11:30:00,2021-10-29 09:45:00,0 days 22:15:00,3,4.181308887191237
113016.SH,2021-11-03 10:15:00,2021-11-03 10:30:00,0 days 00:15:00,2,2.751598150440926
113016.SH,2021-11-16 14:45:00,2021-11-22 09:45:00,5 days 19:00:00,2,10.059140212692608
113016.SH,2021-11-29 09:45:00,2021-11-29 10:00:00,0 days 00:15:00,2,1.9422412039861614
113025.SH,2021-09-22 10:30:00,2021-09-23 09:45:00,0 days 23:15:00,2,8.21164646763226
113025.SH,2021-09-29 11:30:00,2021-09-30 09:45:00,0 days 22:15:00,5,14.417667893603724
113025.SH,2021-10-08 09:45:00,2021-10-08 09:45:00,0 days 00:00:00,2,6.379231820252018
113025.SH,2021-10-08 11:15:00,2021-10-08 15:00:00,0 days 03:45:00,2,3.3344856846538207
113025.SH,2021-10-11 09:45:00,2021-10-11 09:45:00,0 days 00:00:00,2,5.153374233128827
113025.SH,2021-10-12 14:45:00,2021-10-13 10:30:00,0 days 19:45:00,3,5.901240409639352
113025.SH,2021-10-19 14:00:00,2021-10-19 14:30:00,0 days 00:30:00,2,1.797852741248973
